population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,453,Câncer da vesícula biliar e das vias biliares,2,Percentual,2013,0.0027526621570126164,0.0030888815789584644,0.002445691537027369
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,453,Câncer da vesícula biliar e das vias biliares,3,Taxa,2013,1.992558375290828,2.2469063664613684,1.7692694757300544
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,1,Número,2013,397417.1748203897,415787.67545172694,369094.7116901536
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,2,Percentual,2013,0.007593213143902143,0.00794415423329605,0.0070384649826849685
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,3,Taxa,2013,5.496461681993136,5.750534125754053,5.104749035438891
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,459,Melanoma maligno da pele,1,Número,2013,57712.77879602766,64291.7799138647,52602.25939763705
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,459,Melanoma maligno da pele,2,Percentual,2013,0.0011026793985236245,0.0012255929546942104,0.0010023043980841606
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,459,Melanoma maligno da pele,3,Taxa,2013,0.7981941831202342,0.8891847840330507,0.7275133574588072
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,462,Câncer de pele não melanoma,1,Número,2013,45785.874628834645,51732.929443399174,39273.542675839664
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,462,Câncer de pele não melanoma,2,Percentual,2013,0.00087477514190097,0.0009890938332948347,0.0007467703212290011
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,462,Câncer de pele não melanoma,3,Taxa,2013,0.6332396318494979,0.7154901257385454,0.5431710960439343
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,465,Câncer de ovário,1,Número,2013,161818.29662705807,182435.93991149493,146380.48761663053
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,465,Câncer de ovário,2,Percentual,2013,0.0030917362675761356,0.0034876368610433045,0.0027994735392501196
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,465,Câncer de ovário,3,Taxa,2013,2.238021210980617,2.5231726676007953,2.0245092365218067
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,468,Câncer de testículo,1,Número,2013,9502.630473262581,11441.53373286555,7935.717268232657
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,468,Câncer de testículo,2,Percentual,2013,0.00018156619197240228,0.0002185688675849796,0.00015174470016452864
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,468,Câncer de testículo,3,Taxa,2013,0.13142573492963291,0.15824165569681084,0.10975460711703039
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,471,Câncer renal,1,Número,2013,137530.52825370384,148082.51047692154,124170.20750665065
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,471,Câncer renal,2,Percentual,2013,0.002627698625290406,0.0028231552648394524,0.002384263243687065
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,471,Câncer renal,3,Taxa,2013,1.9021102421967455,2.0480489927935226,1.7173308826270335
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,474,Câncer de bexiga,1,Número,2013,178491.77415272107,193479.8779305793,162458.98304174352
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,474,Câncer de bexiga,2,Percentual,2013,0.0034103157595834844,0.0036963108822772746,0.003115272073174052
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,474,Câncer de bexiga,3,Taxa,2013,2.468623047367781,2.6759153923399532,2.2468821977512152
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,477,Neoplasia não maligna da bexiga,1,Número,2013,217469.9811995202,260297.45540081564,192372.68443026248
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,477,Neoplasia não maligna da bexiga,2,Percentual,2013,0.004154954373494104,0.004966299257430605,0.0036845266580820208
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,477,Neoplasia não maligna da bexiga,3,Taxa,2013,3.0077095162964342,3.600033114264636,2.660602398753821
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,480,Câncer de tireoide,1,Número,2013,38617.41050526319,43668.092562695056,33994.906189477995
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,480,Câncer de tireoide,2,Percentual,2013,0.0007378379038230746,0.0008340419924611482,0.0006525837549056297
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,480,Câncer de tireoide,3,Taxa,2013,0.5340964873898756,0.6039497351996891,0.4701651340002193
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,483,Mesotelioma,1,Número,2013,25189.820413269197,27425.7343539367,23081.783853742967
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,483,Mesotelioma,2,Percentual,2013,0.0004812901378630258,0.0005239304842688189,0.00043976113968231833
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,483,Mesotelioma,3,Taxa,2013,0.34838676194705653,0.3793104765667562,0.31923165012051474
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,484,Linfoma de Hodgkin,1,Número,2013,26633.464565891107,34234.84395025633,21313.86346557073
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,484,Linfoma de Hodgkin,2,Percentual,2013,0.0005088621542114793,0.0006524133959925211,0.00040683095588335056
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,484,Linfoma de Hodgkin,3,Taxa,2013,0.36835302226508543,0.4734835832060882,0.2947805008343904
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,485,Linfoma não Hodgkin,1,Número,2013,228103.57498017768,257319.4840971854,204169.14567767875
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,485,Linfoma não Hodgkin,2,Percentual,2013,0.004358200384306378,0.004913492502665364,0.003922472559239785
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,485,Linfoma não Hodgkin,3,Taxa,2013,3.154776992138867,3.5588464061967815,2.8237528646561665
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,486,Mieloma múltiplo,1,Número,2013,92668.02844570072,100387.59803293021,84560.33488265603
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,486,Mieloma múltiplo,2,Percentual,2013,0.0017705380783790377,0.001915583898381392,0.0016146322960715286
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,486,Mieloma múltiplo,3,Taxa,2013,1.2816413073437,1.3884064929622195,1.1695081892449217
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,487,Leucemia,1,Número,2013,305719.25220030814,341045.40197560826,279222.98417576915
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,487,Leucemia,2,Percentual,2013,0.005841227029391381,0.006540920590002773,0.005323515862101504
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,487,Leucemia,3,Taxa,2013,4.228237382861035,4.716814225822187,3.861781851646213
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,489,Outras neoplasias malignas,1,Número,2013,186343.31260700966,211012.35942522637,168049.2864187391
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,489,Outras neoplasias malignas,2,Percentual,2013,0.003560313701372634,0.004020653424309346,0.003209881740099471
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,489,Outras neoplasias malignas,3,Taxa,2013,2.577213422905017,2.918397647338453,2.324198655743399
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,490,Outras neoplasias não malignas,1,Número,2013,94345.37126601624,107027.23747323448,81859.74814802718
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,490,Outras neoplasias não malignas,2,Percentual,2013,0.0018025996267761741,0.0020510753896319975,0.0015623752978919678
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,490,Outras neoplasias não malignas,3,Taxa,2013,1.3048397273505778,1.4802357496680378,1.1321578369042236
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,447,Câncer de nasofaringe,1,Número,2014,59763.220038212006,67917.20120557312,53336.62483552768
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,447,Câncer de nasofaringe,2,Percentual,2014,0.0011326720299840187,0.001287550803138294,0.001014075041267263
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,447,Câncer de nasofaringe,3,Taxa,2014,0.8162762029983871,0.9276473905341016,0.7284985242370913
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,450,Outro câncer da faringe,1,Número,2014,80488.59002126075,97916.4782876578,67935.65870613011
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,450,Outro câncer da faringe,2,Percentual,2014,0.001525500952771771,0.0018523220016859903,0.001288974609562267
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,450,Outro câncer da faringe,3,Taxa,2014,1.0993537598081242,1.3373926481290477,0.9278994923864093
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,453,Câncer da vesícula biliar e das vias biliares,1,Número,2014,146313.0947593032,164230.77054830236,130301.04629095357
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,453,Câncer da vesícula biliar e das vias biliares,2,Percentual,2014,0.0027730757144317783,0.003111606415965443,0.00247134907794342
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,453,Câncer da vesícula biliar e das vias biliares,3,Taxa,2014,1.998418046462419,2.2431466998088867,1.779717412232642
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,1,Número,2014,407988.7160819843,426896.39992266794,378374.1816602916
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,2,Percentual,2014,0.0077326918972131465,0.008106977473747199,0.007150051293313524
1,Toda a população,1,Óbitos,1,Global,3,Ambos,22,Todas as idades,456,Câncer de pâncreas,3,Taxa,2014,5.57251566794179,5.830766350604119,5.168025419661193
